tutor_id,tutor_name,check_in,check_out,shift_hours,snapshot_in,snapshot_out
2598056,Liam Johnson,2025-01-01 10:00:00,2025-01-01 12:30,2.5,snapshots/2598056.jpg,snapshots/2598056.jpg
6362733,Meera Nair,2025-01-04 08:00:00,2025-01-04 09:30,1.5,snapshots/6362733.jpg,snapshots/6362733.jpg
2598056,Liam Johnson,2025-01-04 12:00:00,2025-01-04 15:00,3.0,snapshots/2598056.jpg,snapshots/2598056.jpg
7644166,Ryan Scott,2025-01-05 08:15:00,2025-01-05 10:45,2.5,snapshots/7644166.jpg,snapshots/7644166.jpg
2598056,Liam Johnson,2025-01-05 17:15:00,2025-01-05 20:15,3.0,snapshots/2598056.jpg,snapshots/2598056.jpg
7644166,Ryan Scott,2025-01-06 13:00:00,2025-01-06 15:00,2.0,snapshots/7644166.jpg,snapshots/7644166.jpg
6403246,Isabella Davis,2025-01-07 10:45:00,2025-01-07 12:45,2.0,snapshots/6403246.jpg,snapshots/6403246.jpg
7916493,Arjun Kapoor,2025-01-07 11:30:00,2025-01-07 13:00,1.5,snapshots/7916493.jpg,snapshots/7916493.jpg
2598056,Liam Johnson,2025-01-07 13:45:00,2025-01-07 16:15,2.5,snapshots/2598056.jpg,snapshots/2598056.jpg
8853681,Aanya Mehta,2025-01-09 17:00:00,2025-01-09 18:30,1.5,snapshots/8853681.jpg,snapshots/8853681.jpg
7916493,Arjun Kapoor,2025-01-14 09:00:00,2025-01-14 12:00,3.0,snapshots/7916493.jpg,snapshots/7916493.jpg
4146623,Noah Wilson,2025-01-14 14:45:00,2025-01-14 16:15,1.5,snapshots/4146623.jpg,snapshots/4146623.jpg
2115580,Saanvi Joshi,2025-01-15 12:00:00,2025-01-15 14:00,2.0,snapshots/2115580.jpg,snapshots/2115580.jpg
2701634,Emily Brown,2025-01-15 13:15:00,2025-01-15 15:15,2.0,snapshots/2701634.jpg,snapshots/2701634.jpg
3534553,Benjamin Lewis,2025-01-17 11:45:00,2025-01-17 13:45,2.0,snapshots/3534553.jpg,snapshots/3534553.jpg
6887917,Lucas Moore,2025-01-19 09:30:00,2025-01-19 11:00,1.5,snapshots/6887917.jpg,snapshots/6887917.jpg
2598056,Liam Johnson,2025-01-20 13:15:00,2025-01-20 16:15,3.0,snapshots/2598056.jpg,snapshots/2598056.jpg
2115580,Saanvi Joshi,2025-01-20 16:00:00,2025-01-20 17:30,1.5,snapshots/2115580.jpg,snapshots/2115580.jpg
7134699,Vivaan Kumar,2025-01-21 08:30:00,2025-01-21 11:30,3.0,snapshots/7134699.jpg,snapshots/7134699.jpg
2750869,Neha Patel,2025-01-22 11:30:00,2025-01-22 13:30,2.0,snapshots/2750869.jpg,snapshots/2750869.jpg
2750869,Neha Patel,2025-01-22 12:15:00,2025-01-22 14:15,2.0,snapshots/2750869.jpg,snapshots/2750869.jpg
2598056,Liam Johnson,2025-01-22 13:45:00,2025-01-22 15:45,2.0,snapshots/2598056.jpg,snapshots/2598056.jpg
6362733,Meera Nair,2025-01-22 15:45:00,2025-01-22 18:15,2.5,snapshots/6362733.jpg,snapshots/6362733.jpg
6474141,Anaya Sharma,2025-01-23 15:30:00,2025-01-23 18:30,3.0,snapshots/6474141.jpg,snapshots/6474141.jpg
2701634,Emily Brown,2025-01-26 12:30:00,2025-01-26 15:30,3.0,snapshots/2701634.jpg,snapshots/2701634.jpg
6664205,Mason Lee,2025-01-27 08:00:00,2025-01-27 10:00,2.0,snapshots/6664205.jpg,snapshots/6664205.jpg
2425166,Aarav Shah,2025-01-27 11:45:00,2025-01-27 14:45,3.0,snapshots/2425166.jpg,snapshots/2425166.jpg
7644166,Ryan Scott,2025-01-28 14:00:00,2025-01-28 16:30,2.5,snapshots/7644166.jpg,snapshots/7644166.jpg
2425166,Aarav Shah,2025-01-29 09:30:00,2025-01-29 12:30,3.0,snapshots/2425166.jpg,snapshots/2425166.jpg
6362733,Meera Nair,2025-01-29 11:15:00,2025-01-29 12:45,1.5,snapshots/6362733.jpg,snapshots/6362733.jpg
4146623,Noah Wilson,2025-01-30 16:00:00,2025-01-30 19:00,3.0,snapshots/4146623.jpg,snapshots/4146623.jpg
7264805,Isha Reddy,2025-01-30 16:15:00,2025-01-30 18:45,2.5,snapshots/7264805.jpg,snapshots/7264805.jpg
