timestamp,user_email,action,details,ip_address,user_agent,admin_email,target_user_email,status
2025-01-01 10:00:00,,TUTOR_CHECK_IN,Liam Johnson (2598056) checked in,,,,,
2025-01-04 08:00:00,,TUTOR_CHECK_IN,Meera Nair (6362733) checked in,,,,,
2025-01-04 12:00:00,,TUTOR_CHECK_IN,Liam Johnson (2598056) checked in,,,,,
2025-01-05 08:15:00,,TUTOR_CHECK_IN,Ryan Scott (7644166) checked in,,,,,
2025-01-05 17:15:00,,TUTOR_CHECK_IN,Liam Johnson (2598056) checked in,,,,,
2025-01-06 13:00:00,,TUTOR_CHECK_IN,Ryan Scott (7644166) checked in,,,,,
2025-01-07 10:45:00,,TUTOR_CHECK_IN,Isabella Davis (6403246) checked in,,,,,
2025-01-07 11:30:00,,TUTOR_CHECK_IN,Arjun Kapoor (7916493) checked in,,,,,
2025-01-07 13:45:00,,TUTOR_CHECK_IN,Liam Johnson (2598056) checked in,,,,,
2025-01-09 17:00:00,,TUTOR_CHECK_IN,Aanya Mehta (8853681) checked in,,,,,
2025-01-14 09:00:00,,TUTOR_CHECK_IN,Arjun Kapoor (7916493) checked in,,,,,
2025-01-14 14:45:00,,TUTOR_CHECK_IN,Noah Wilson (4146623) checked in,,,,,
2025-01-15 12:00:00,,TUTOR_CHECK_IN,Saanvi Joshi (2115580) checked in,,,,,
2025-01-15 13:15:00,,TUTOR_CHECK_IN,Emily Brown (2701634) checked in,,,,,
2025-01-17 11:45:00,,TUTOR_CHECK_IN,Benjamin Lewis (3534553) checked in,,,,,
2025-01-19 09:30:00,,TUTOR_CHECK_IN,Lucas Moore (6887917) checked in,,,,,
2025-01-20 13:15:00,,TUTOR_CHECK_IN,Liam Johnson (2598056) checked in,,,,,
2025-01-20 16:00:00,,TUTOR_CHECK_IN,Saanvi Joshi (2115580) checked in,,,,,
2025-01-21 08:30:00,,TUTOR_CHECK_IN,Vivaan Kumar (7134699) checked in,,,,,
2025-01-22 11:30:00,,TUTOR_CHECK_IN,Neha Patel (2750869) checked in,,,,,
2025-01-22 12:15:00,,TUTOR_CHECK_IN,Neha Patel (2750869) checked in,,,,,
2025-01-22 13:45:00,,TUTOR_CHECK_IN,Liam Johnson (2598056) checked in,,,,,
2025-01-22 15:45:00,,TUTOR_CHECK_IN,Meera Nair (6362733) checked in,,,,,
2025-01-23 15:30:00,,TUTOR_CHECK_IN,Anaya Sharma (6474141) checked in,,,,,
2025-01-26 12:30:00,,TUTOR_CHECK_IN,Emily Brown (2701634) checked in,,,,,
2025-01-27 08:00:00,,TUTOR_CHECK_IN,Mason Lee (6664205) checked in,,,,,
2025-01-27 11:45:00,,TUTOR_CHECK_IN,Aarav Shah (2425166) checked in,,,,,
2025-01-28 14:00:00,,TUTOR_CHECK_IN,Ryan Scott (7644166) checked in,,,,,
2025-01-29 09:30:00,,TUTOR_CHECK_IN,Aarav Shah (2425166) checked in,,,,,
2025-01-29 11:15:00,,TUTOR_CHECK_IN,Meera Nair (6362733) checked in,,,,,
2025-01-30 16:00:00,,TUTOR_CHECK_IN,Noah Wilson (4146623) checked in,,,,,
2025-01-30 16:15:00,,TUTOR_CHECK_IN,Isha Reddy (7264805) checked in,,,,,
2025-01-31 16:30:00,,TUTOR_CHECK_IN,Mason Lee (6664205) checked in,,,,,
2025-02-01 10:00:00,,TUTOR_CHECK_IN,Liam Johnson (2598056) checked in,,,,,
2025-02-01 12:30:00,,TUTOR_CHECK_OUT,Liam Johnson (2598056) checked out,,,,,
2025-02-02 17:00:00,,TUTOR_CHECK_IN,Noah Wilson (4146623) checked in,,,,,
2025-02-03 08:15:00,,TUTOR_CHECK_IN,Aarav Shah (2425166) checked in,,,,,
2025-02-03 15:15:00,,TUTOR_CHECK_IN,Avni Desai (2630571) checked in,,,,,
2025-02-03 17:15:00,,TUTOR_CHECK_IN,Mason Lee (6664205) checked in,,,,,
2025-02-04 08:00:00,,TUTOR_CHECK_IN,Meera Nair (6362733) checked in,,,,,
2025-02-04 08:15:00,,TUTOR_CHECK_IN,Emily Brown (2701634) checked in,,,,,
2025-02-04 09:30:00,,TUTOR_CHECK_OUT,Meera Nair (6362733) checked out,,,,,
2025-02-04 12:00:00,,TUTOR_CHECK_IN,Liam Johnson (2598056) checked in,,,,,
2025-02-04 14:30:00,,TUTOR_CHECK_IN,Ryan Scott (7644166) checked in,,,,,
2025-02-04 15:00:00,,TUTOR_CHECK_OUT,Liam Johnson (2598056) checked out,,,,,
2025-02-05 08:15:00,,TUTOR_CHECK_IN,Ryan Scott (7644166) checked in,,,,,
2025-02-05 10:45:00,,TUTOR_CHECK_OUT,Ryan Scott (7644166) checked out,,,,,
2025-02-05 11:30:00,,TUTOR_CHECK_IN,Neha Patel (2750869) checked in,,,,,
2025-02-05 17:15:00,,TUTOR_CHECK_IN,Liam Johnson (2598056) checked in,,,,,
2025-02-05 20:15:00,,TUTOR_CHECK_OUT,Liam Johnson (2598056) checked out,,,,,
2025-02-06 11:30:00,,TUTOR_CHECK_IN,Avni Desai (2630571) checked in,,,,,
2025-02-06 13:00:00,,TUTOR_CHECK_IN,Ryan Scott (7644166) checked in,,,,,
2025-02-06 15:00:00,,TUTOR_CHECK_OUT,Ryan Scott (7644166) checked out,,,,,
2025-02-07 09:15:00,,TUTOR_CHECK_IN,Aanya Mehta (8853681) checked in,,,,,
2025-02-07 10:30:00,,TUTOR_CHECK_IN,Meera Nair (6362733) checked in,,,,,
2025-02-07 10:45:00,,TUTOR_CHECK_IN,Isabella Davis (6403246) checked in,,,,,
2025-02-07 11:30:00,,TUTOR_CHECK_IN,Arjun Kapoor (7916493) checked in,,,,,
2025-02-07 12:45:00,,TUTOR_CHECK_OUT,Isabella Davis (6403246) checked out,,,,,
2025-02-07 13:00:00,,TUTOR_CHECK_OUT,Arjun Kapoor (7916493) checked out,,,,,
2025-02-07 13:45:00,,TUTOR_CHECK_IN,Liam Johnson (2598056) checked in,,,,,
2025-02-07 16:15:00,,TUTOR_CHECK_OUT,Liam Johnson (2598056) checked out,,,,,
2025-02-08 15:15:00,,TUTOR_CHECK_IN,Saanvi Joshi (2115580) checked in,,,,,
2025-02-09 14:45:00,,TUTOR_CHECK_IN,Noah Wilson (4146623) checked in,,,,,
2025-02-09 15:15:00,,TUTOR_CHECK_IN,Noah Wilson (4146623) checked in,,,,,
2025-02-09 17:00:00,,TUTOR_CHECK_IN,Aanya Mehta (8853681) checked in,,,,,
2025-02-09 17:45:00,,TUTOR_CHECK_IN,Aanya Mehta (8853681) checked in,,,,,
2025-02-09 18:30:00,,TUTOR_CHECK_OUT,Aanya Mehta (8853681) checked out,,,,,
2025-02-10 08:15:00,,TUTOR_CHECK_IN,Isabella Davis (6403246) checked in,,,,,
2025-02-11 09:30:00,,TUTOR_CHECK_IN,Aanya Mehta (8853681) checked in,,,,,
2025-02-11 12:00:00,,TUTOR_CHECK_IN,Emily Brown (2701634) checked in,,,,,
2025-02-12 13:15:00,,TUTOR_CHECK_IN,Vivaan Kumar (7134699) checked in,,,,,
2025-02-14 09:00:00,,TUTOR_CHECK_IN,Arjun Kapoor (7916493) checked in,,,,,
2025-02-14 12:00:00,,TUTOR_CHECK_OUT,Arjun Kapoor (7916493) checked out,,,,,
2025-02-14 14:45:00,,TUTOR_CHECK_IN,Noah Wilson (4146623) checked in,,,,,
2025-02-14 16:15:00,,TUTOR_CHECK_OUT,Noah Wilson (4146623) checked out,,,,,
2025-02-15 12:00:00,,TUTOR_CHECK_IN,Saanvi Joshi (2115580) checked in,,,,,
2025-02-15 13:15:00,,TUTOR_CHECK_IN,Emily Brown (2701634) checked in,,,,,
2025-02-15 14:00:00,,TUTOR_CHECK_OUT,Saanvi Joshi (2115580) checked out,,,,,
2025-02-15 14:45:00,,TUTOR_CHECK_IN,Saanvi Joshi (2115580) checked in,,,,,
2025-02-15 15:15:00,,TUTOR_CHECK_OUT,Emily Brown (2701634) checked out,,,,,
2025-02-17 11:45:00,,TUTOR_CHECK_IN,Benjamin Lewis (3534553) checked in,,,,,
2025-02-17 13:45:00,,TUTOR_CHECK_OUT,Benjamin Lewis (3534553) checked out,,,,,
2025-02-19 09:30:00,,TUTOR_CHECK_IN,Lucas Moore (6887917) checked in,,,,,
2025-02-19 09:30:00,,TUTOR_CHECK_IN,Neha Patel (2750869) checked in,,,,,
2025-02-19 11:00:00,,TUTOR_CHECK_OUT,Lucas Moore (6887917) checked out,,,,,
2025-02-19 11:00:00,,TUTOR_CHECK_IN,Meera Nair (6362733) checked in,,,,,
2025-02-19 12:15:00,,TUTOR_CHECK_IN,Ryan Scott (7644166) checked in,,,,,
2025-02-20 13:15:00,,TUTOR_CHECK_IN,Liam Johnson (2598056) checked in,,,,,
2025-02-20 16:00:00,,TUTOR_CHECK_IN,Saanvi Joshi (2115580) checked in,,,,,
