assignment_id,shift_id,tutor_id,tutor_name,start_date,day_name,start_time,end_time,status,end_date,active,assigned_by,assigned_at
1,101,2115580,Saanvi Joshi,2025-06-28,Saturday,12:00:00,14:00:00,scheduled,2025-06-28,True,system,2025-06-28T17:58:25.328201
2,101,2115580,Saanvi Joshi,2025-07-05,Saturday,12:00:00,14:00:00,scheduled,2025-07-05,True,system,2025-06-28T17:58:25.328201
3,101,2115580,Saanvi Joshi,2025-07-12,Saturday,12:00:00,14:00:00,scheduled,2025-07-12,True,system,2025-06-28T17:58:25.328201
4,101,2115580,Saanvi Joshi,2025-07-19,Saturday,12:00:00,14:00:00,scheduled,2025-07-19,True,system,2025-06-28T17:58:25.328201
5,101,2115580,Saanvi Joshi,2025-07-26,Saturday,12:00:00,14:00:00,scheduled,2025-07-26,True,system,2025-06-28T17:58:25.328201
6,101,2115580,Saanvi Joshi,2025-08-02,Saturday,12:00:00,14:00:00,scheduled,2025-08-02,True,system,2025-06-28T17:58:25.328201
7,101,2115580,Saanvi Joshi,2025-08-09,Saturday,12:00:00,14:00:00,scheduled,2025-08-09,True,system,2025-06-28T17:58:25.328201
8,101,2115580,Saanvi Joshi,2025-08-16,Saturday,12:00:00,14:00:00,scheduled,2025-08-16,True,system,2025-06-28T17:58:25.328201
9,101,2115580,Saanvi Joshi,2025-08-23,Saturday,12:00:00,14:00:00,scheduled,2025-08-23,True,system,2025-06-28T17:58:25.328201
10,101,2115580,Saanvi Joshi,2025-08-30,Saturday,12:00:00,14:00:00,scheduled,2025-08-30,True,system,2025-06-28T17:58:25.328201
11,101,2115580,Saanvi Joshi,2025-09-06,Saturday,12:00:00,14:00:00,scheduled,2025-09-06,True,system,2025-06-28T17:58:25.328201
12,101,2115580,Saanvi Joshi,2025-09-13,Saturday,12:00:00,14:00:00,scheduled,2025-09-13,True,system,2025-06-28T17:58:25.328201
13,101,2115580,Saanvi Joshi,2025-09-20,Saturday,12:00:00,14:00:00,scheduled,2025-09-20,True,system,2025-06-28T17:58:25.328201
14,101,2115580,Saanvi Joshi,2025-09-27,Saturday,12:00:00,14:00:00,scheduled,2025-09-27,True,system,2025-06-28T17:58:25.328201
15,101,2115580,Saanvi Joshi,2025-10-04,Saturday,12:00:00,14:00:00,scheduled,2025-10-04,True,system,2025-06-28T17:58:25.328201
16,101,2115580,Saanvi Joshi,2025-10-11,Saturday,12:00:00,14:00:00,scheduled,2025-10-11,True,system,2025-06-28T17:58:25.328201
17,101,2115580,Saanvi Joshi,2025-10-18,Saturday,12:00:00,14:00:00,scheduled,2025-10-18,True,system,2025-06-28T17:58:25.328201
18,101,2115580,Saanvi Joshi,2025-10-25,Saturday,12:00:00,14:00:00,scheduled,2025-10-25,True,system,2025-06-28T17:58:25.328201
19,101,2115580,Saanvi Joshi,2025-11-01,Saturday,12:00:00,14:00:00,scheduled,2025-11-01,True,system,2025-06-28T17:58:25.328201
